Nom,Sexe,Identifiant,"État
membre"
ABADJIEV Dimitar,M,34255,BG
ADAMOU Adamos,M,28469,CY
ADWENT Filip,M,28302,PL
AGNOLETTO Vittorio,M,28975,IT
AITA Vincenzo,M,36583,IT
ALBERTINI Gabriele,M,28367,IT
ALI Nedzhmi,M,34250,BG
ALLISTER Jim,M,28512,GB
ALVARO Alexander,M,28246,DE
ANASTASE Roberta Alma,F,33964,RO
ANDERSSON Jan,M,2107,SE
ANDREJEVS Georgs,M,28620,LV
ANDRIA Alfonso,M,28363,IT
ANDRIKIENĖ Laima Liucija,F,28276,LT
ANGELAKAS Emmanouil,M,39316,GR
ANGELILLI Roberta,F,1941,IT
ANTINUCCI Rapisardo,M,72723,IT
ANTOCHI Alin Lucian,M,95280,RO
ANTONIOZZI Alfredo,M,28422,IT
ARABADJIEV Alexander,M,34228,BG
ARIF Kader,M,28137,FR
ARNAOUTAKIS Stavros,M,28578,GR
ASHWORTH Richard,M,28132,GB
ASSIS Francisco,M,28307,PT
ATHANASIU Alexandru,M,33994,RO
ATKINS Robert,M,4537,GB
ATTARD-MONTALTO John,M,23938,MT
ATTWOOLL Elspeth,F,4547,GB
AUBERT Marie-Hélène,F,28213,FR
AUDY Jean-Pierre,M,33775,FR
AUKEN Margrete,F,28161,DK
AYALA SENDER Inés,F,28292,ES
AYLWARD Liam,M,28114,IE
AYUSO Pilar,F,4319,ES
BACHELOT-NARQUIN Roselyne,F,28179,FR
BACO Peter,M,28195,SK
BADIA i CUTCHET Maria,F,28342,ES
BAEVA Mariela Velichkova,F,38606,BG
BĂRBULEŢIU Tiberiu,M,33967,RO
BARÓN CRESPO Enrique,M,1352,ES
BARSI-PATAKY Etelka,F,28136,HU
BARTOLOZZI Paolo,M,21818,IT
BASILE Domenico Antonio,M,72722,IT
BATTEN Gerard,M,28497,GB
BATTILOCCHIO Alessandro,M,28427,IT
BATZELI Katerina,F,28579,GR
BAUER Edit,F,23866,SK
BAUTISTA Daniel,M,96101,ES
BEAUPUY Jean Marie,M,28205,FR
BEAZLEY Christopher,M,1429,GB
BECŞENESCU Dumitru,M,33965,RO
BECSEY Zsolt László,M,28138,HU
BEDINGFIELD Glenn,M,94508,MT
BEER Angelika,F,28234,DE
BEGLITIS Panagiotis,M,28580,GR
BELDER Bas,M,4507,NL
BELET Ivo,M,28257,BE
BELOHORSKÁ Irena,F,28196,SK
BENNAHMIAS Jean-Luc,M,28214,FR
BEREND Rolf,M,1842,DE
BERÈS Pervenche,F,1985,FR
van den BERG Margrietus,M,4480,NL
BERGER Maria,F,2285,AT
BERLATO Sergio,M,4746,IT
BERLINGUER Giovanni,M,28369,IT
BERMAN Thijs,M,28174,NL
BERSANI Pier Luigi,M,28329,IT
BERTINOTTI Fausto,M,2023,IT
BIELAN Adam,M,23788,PL
BINEV Slavi,M,38610,BG
BIRUTIS Šarūnas,M,28216,LT
BLIZNASHKI Georgi,M,34230,BG
BLOKLAND Johannes,M,1969,NL
BLOOM Godfrey,M,28513,GB
BOBOŠÍKOVÁ Jana,F,28359,CZ
BODU Sebastian Valentin,M,39722,RO
BÖGE Reimer,M,1037,DE
BONDE Jens-Peter,M,1275,DK
BONINO Emma,F,1566,IT
BONO Guy,M,28140,FR
BONSIGNORE Vito,M,29074,IT
BOOTH Graham,M,23286,GB
BORGHEZIO Mario,M,21817,IT
BORRELL FONTELLES Josep,M,28267,ES
BÖSCH Herbert,M,2048,AT
BOSO Erminio Enzo,M,72753,IT
BOSSI Umberto,M,2036,IT
BOŞTINARU Victor,M,39711,RO
BOTOPOULOS Costas,M,39318,GR
BOURLANGES Jean-Louis,M,1026,FR
BOURSIER Catherine,F,58711,FR
BOURZAI Bernadette,F,28143,FR
BOVA Giuseppe,M,41003,IT
BOWIS John,M,4527,GB
BOWLES Sharon,F,33570,GB
BOZKURT Emine,F,28171,NL
BRADBOURN Philip,M,4540,GB
BRAGHETTO Iles,M,34174,IT
BREJC Mihael,M,23713,SI
BREPOELS Frieda,F,28463,BE
BRESSO Mercedes,F,28346,IT
BREYER Hiltrud,F,1059,DE
BŘEZINA Jan,M,28354,CZ
BRIE André,M,4298,DE
BROK Elmar,M,1263,DE
BRUNETTA Renato,M,4422,IT
BUDREIKAITĖ Danutė,F,28268,LT
van BUITENEN Paul,M,28264,NL
BUITENWEG Kathalijne Maria,F,4504,NL
BULFON Wolfgang,M,37761,AT
BULLMANN Udo,M,4267,DE
BULZESC Nicodim,M,39720,RO
van den BURG Ieke,F,4483,NL
BURKE Colm,M,38724,IE
BURUIANĂ-APRODU Daniela,F,33966,RO
BUSHILL-MATTHEWS Philip,M,4535,GB
BUSK Niels,M,4442,DK
BUŞOI Cristian-Silviu,M,38420,RO
BUSQUIN Philippe,M,4248,BE
BUSUTTIL Simon,M,28120,MT
BUZEK Jerzy,M,28269,PL
CABRNOCH Milan,M,28324,CZ
CALABUIG RULL Joan,M,28322,ES
CALIA Maddalena,F,93776,IT
CALLANAN Martin,M,4536,GB
CAMRE Mogens,M,4439,DK
CAPOULAS SANTOS Luis Manuel,M,28311,PT
CAPPATO Marco,M,4740,IT
CAPPONE Maria,F,34253,BG
CARLOTTI Marie-Arlette,F,2031,FR
CARNERO GONZÁLEZ Carlos,M,1973,ES
CAROLLO Giorgio,M,28415,IT
CASA David,M,28122,MT
CASACA Paulo,M,4447,PT
CASHMAN Michael,M,4532,GB
CASINI Carlo,M,988,IT
CASPARY Daniel,M,28219,DE
CASTEX Françoise,F,28148,FR
CASTIGLIONE Giuseppe,M,28459,IT
del CASTILLO VERA Pilar,F,28390,ES
CATANIA Giusto,M,28979,IT
CAVADA Jean-Marie,M,28206,FR
CEDERSCHIÖLD Charlotte,F,2110,SE
CERCAS Alejandro,M,4337,ES
CESA Lorenzo,M,28451,IT
CHATZIMARKAKIS Jorgo,M,28243,DE
CHERVENYAKOV Mladen Petrov,M,37525,BG
CHICHESTER Giles,M,2097,GB
CHIESA Giulietto,M,28973,IT
CHIRIŢĂ Călin Cătălin,M,95018,RO
CHMIELEWSKI Zdzisław Kazimierz,M,28274,PL
CHRISTENSEN Ole,M,28154,DK
CHRISTOVA Christina,F,34248,BG
CHRUSZCZ Sylwester,M,28325,PL
CHUKOLOV Desislav,M,38603,BG
CIANI Fabio,M,41005,IT
CIORNEI Silvia,F,33995,RO
CIOROIANU Adrian-Mihai,M,33996,RO
CIRINO POMICINO Paolo,M,28978,IT
CLAEYS Philip,M,24030,BE
CLARK Derek Roland,M,28493,GB
COCILOVO Luigi,M,4470,IT
COELHO Carlos,M,1892,PT
COHN-BENDIT Daniel,M,1934,FR
COLMAN Trevor,M,94283,GB
CORBETT Richard,M,2309,GB
CORBEY Dorette,F,4558,NL
CORDA Giovanna,F,39023,BE
CORLĂŢEAN Titus,M,33968,RO
CORNILLET Thierry,M,4338,FR
CORREIA Fausto,M,28309,PT
COŞEA Dumitru Gheorghe Mircea,M,33976,RO
COSTA António,M,28303,PT
COSTA Paolo,M,4747,IT
COTTIGNY Jean Louis,M,2315,FR
COÛTEAUX Paul Marie,M,4383,FR
COVENEY Simon,M,28118,IE
CRAMER Michael,M,28238,DE
CREMERS Jan,M,40818,NL
CREŢU Corina,F,33997,RO
CREŢU Gabriela,F,33977,RO
CROWLEY Brian,M,2109,IE
CSIBI Magor Imre,M,39719,RO
CZARNECKI Marek Aleksander,M,28371,PL
CZARNECKI Ryszard,M,28372,PL
DAHL Hanne,F,40817,DK
DĂIANU Daniel,M,39716,RO
D'ALEMA Massimo,M,28431,IT
DĂNCILĂ Viorica,F,95281,RO
DAUL Joseph,M,4342,FR
DAVID Dragoş Florin,M,39712,RO
DAVIES Chris,M,4554,GB
DE BLASIO Antonio,M,36748,HU
de BRÚN Bairbre,F,28511,GB
DEGUTIS Arūnas,M,28270,LT
DEHAENE Jean-Luc,M,28256,BE
DE KEYSER Véronique,F,22097,BE
DEL TURCO Ottaviano,M,28432,IT
DEMETRIOU Panayiotis,M,23730,CY
DE MICHELIS Gianni,M,28452,IT
DEMSZKY Gábor,M,28203,HU
DENANOT Jean-Paul,M,94282,FR
DE POLI Antonio,M,28417,IT
DEPREZ Gérard,M,1473,BE
DE ROSSA Proinsias,M,1289,IE
de SARNEZ Marielle,F,4335,FR
DESCAMPS Marie-Hélène,F,22859,FR
DÉSIR Harlem,M,4318,FR
DESS Albert,M,28228,DE
DEVA Nirj,M,4556,GB
DE VEYRAC Christine,F,4347,FR
DE VITS Mia,F,28259,BE
DÍAZ DE MERA GARCÍA CONSUEGRA Agustín,M,28397,ES
DIČKUTĖ Jolanta,F,28272,LT
DIDŽIOKAS Gintaras,M,23747,LT
DÍEZ GONZÁLEZ Rosa,F,4327,ES
DILLEN Koenraad,M,24029,BE
DIMITRAKOPOULOS Giorgos,M,2185,GR
DIMITROV Konstantin,M,37488,BG
DIMITROV Martin,M,34252,BG
DIMITROV Philip Dimitrov,M,37526,BG
DÎNCU Vasile,M,33998,RO
DIONISI Armando,M,28426,IT
DI PIETRO Antonio,M,4404,IT
DOBOLYI Alexandra,F,28637,HU
DOMBROVSKIS Valdis,M,28618,LV
DONNICI Beniamino,M,38399,IT
DOORN Bert,M,4500,NL
DOUAY Brigitte,F,28157,FR
DOVER Den,M,4552,GB
DOYLE Avril,F,4382,IE
DRČAR MURKO Mojca,F,28305,SI
DROUTSAS Konstantinos,M,58782,GR
DUCA Viorel,M,33999,RO
DUCHOŇ Petr,M,28315,CZ
DUFF Andrew,M,4514,GB
DÜHRKOP DÜHRKOP Bárbara,F,1313,ES
DUIN Garrelt,M,5969,DE
DUKA-ZÓLYOMI Árpád,M,28197,SK
DUMITRESCU Cristian,M,33978,RO
DUMITRIU Constantin,M,39718,RO
DUQUESNE Antoine,M,28841,BE
EBNER Michl,M,2075,IT
EHLER Christian,M,28226,DE
EK Lena,F,28127,SE
EL KHADRAOUI Saïd,M,25718,BE
ELLES James,M,1419,GB
ESTEVES Maria da Assunção,F,28401,PT
ESTRELA Edite,F,28310,PT
ETTL Harald,M,2286,AT
EURLINGS Camiel,M,28163,NL
EVANS Jill,F,4550,GB
EVANS Jonathan,M,4549,GB
EVANS Robert,M,2099,GB
FAJMON Hynek,M,23695,CZ
FALBR Richard,M,23840,CZ
